Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
OUTSIDE	  1	-16	-78	-54	NaN	  1	  8	21.00	NaN	
Temporal_Pole_Mid_L	  2	-52	 10	-36	NaN	 97	776	2.00	NaN	
OUTSIDE	  3	-44	 20	-42	NaN	  1	  8	2.00	NaN	
OUTSIDE	  4	-44	 24	-36	NaN	  1	  8	2.00	NaN	
Lingual_L	  5	-18	-96	-14	NaN	354	2832	4.00	NaN	
OUTSIDE	  6	-62	  6	-26	NaN	  3	 24	2.00	NaN	
Rectus_R	  7	  6	 56	-24	NaN	 29	232	20.00	NaN	
OUTSIDE	  8	-66	 -8	-26	NaN	  3	 24	2.00	NaN	
Temporal_Mid_L	  9	-64	  2	-20	NaN	 15	120	2.00	NaN	
Temporal_Mid_R	 10	 60	-22	-14	NaN	 82	656	10.00	NaN	
Lingual_R	 11	 24	-94	 -8	NaN	250	2000	5.00	NaN	
OUTSIDE	 12	-70	-12	-14	NaN	  5	 40	2.00	NaN	
Frontal_Med_Orb_R	 13	  2	 54	 -8	NaN	 49	392	17.00	NaN	
Frontal_Inf_Oper_L	 14	-62	  6	  6	NaN	  4	 32	2.00	NaN	
Frontal_Inf_Tri_L	 15	-60	 18	 18	NaN	 79	632	2.00	NaN	
Temporal_Mid_L	 16	-44	-60	 16	NaN	 67	536	11.00	NaN	
Frontal_Mid_2_R	 17	 42	 48	 14	NaN	 20	160	33.00	NaN	
Temporal_Mid_R	 18	 54	-62	 18	NaN	 95	760	8.00	NaN	
OUTSIDE	 19	-68	-16	 18	NaN	 22	176	2.00	NaN	
Occipital_Mid_R	 20	 44	-80	 22	NaN	 32	256	24.00	NaN	
Frontal_Sup_2_L	 21	-26	 50	 20	NaN	 52	416	16.00	NaN	
Frontal_Sup_2_R	 22	 24	 62	 16	NaN	 34	272	23.00	NaN	
Postcentral_R	 23	 40	-26	 54	NaN	3189	25512	1.00	NaN	
Frontal_Mid_2_R	 24	 26	 48	 26	NaN	108	864	7.00	NaN	
Postcentral_L	 25	-44	-36	 52	NaN	991	7928	3.00	NaN	
Rolandic_Oper_R	 26	 56	-22	 22	NaN	 33	264	28.00	NaN	
OUTSIDE	 27	-66	 -6	 24	NaN	  3	 24	2.00	NaN	
Cuneus_R	 28	 12	-78	 36	NaN	 61	488	14.00	NaN	
Cuneus_L	 29	 -8	-84	 38	NaN	 62	496	13.00	NaN	
Cingulate_Mid_R	 30	  6	-26	 42	NaN	 99	792	9.00	NaN	
Cingulate_Mid_R	 31	 14	-38	 42	NaN	 30	240	29.00	NaN	
Cingulate_Mid_L	 32	 -8	-32	 40	NaN	 23	184	30.00	NaN	
Parietal_Sup_R	 33	 22	-74	 54	NaN	 51	408	15.00	NaN	
Frontal_Sup_2_R	 34	 26	  4	 66	NaN	 43	344	18.00	NaN	
