Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
OUTSIDE	  1	-26	-80	-52	NaN	  2	 16	11.00	NaN	
Cerebelum_Crus2_R	  2	 22	-84	-46	NaN	  3	 24	7.00	NaN	
Cerebelum_Crus2_L	  3	-30	-80	-40	NaN	 23	184	29.00	NaN	
OUTSIDE	  4	 32	 20	-44	NaN	  2	 16	16.00	NaN	
Temporal_Pole_Sup_R	  5	 42	 24	-20	NaN	 28	224	25.00	NaN	
OFCmed_R	  6	  8	 56	-22	NaN	 33	264	20.00	NaN	
Temporal_Pole_Sup_L	  7	-42	 18	-20	NaN	 26	208	28.00	NaN	
OFCant_R	  8	 36	 38	-16	NaN	 87	696	9.00	NaN	
Occipital_Inf_L	  9	-22	-100	-10	NaN	 26	208	27.00	NaN	
Temporal_Mid_R	 10	 66	-24	 -6	NaN	 41	328	17.00	NaN	
Frontal_Sup_Medial_L	 11	 -6	 62	  2	NaN	 45	360	14.00	NaN	
Frontal_Inf_Oper_R	 12	 52	 16	  0	NaN	 80	640	10.00	NaN	
Frontal_Sup_Medial_L	 13	 -6	 54	 10	NaN	 50	400	13.00	NaN	
Rolandic_Oper_R	 14	 62	  4	 12	NaN	 20	160	31.00	NaN	
Frontal_Sup_2_R	 15	 16	 58	 22	NaN	358	2864	2.00	NaN	
Frontal_Sup_2_L	 16	-24	 48	 20	NaN	130	1040	4.00	NaN	
SupraMarginal_L	 17	-60	-50	 30	NaN	 94	752	6.00	NaN	
SupraMarginal_L	 18	-62	-36	 26	NaN	 29	232	22.00	NaN	
Postcentral_R	 19	 62	 -6	 32	NaN	 89	712	8.00	NaN	
Postcentral_L	 20	-58	 -8	 36	NaN	 49	392	12.00	NaN	
Frontal_Mid_2_R	 21	 40	 28	 46	NaN	 42	336	15.00	NaN	
Frontal_Sup_Medial_R	 22	  8	 38	 52	NaN	365	2920	1.00	NaN	
OUTSIDE	 23	-58	-18	 50	NaN	  8	 64	21.00	NaN	
Supp_Motor_Area_R	 24	  6	 16	 64	NaN	 29	232	24.00	NaN	
Supp_Motor_Area_L	 25	 -4	 10	 72	NaN	  1	  8	18.00	NaN	
