Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Cerebelum_Crus1_R	  1	 50	-60	-30	NaN	 67	536	10.00	NaN	
Cerebelum_Crus1_R	  2	 46	-76	-32	NaN	  8	 64	17.00	NaN	
Cerebelum_Crus1_R	  3	 36	-82	-28	NaN	 16	128	17.00	NaN	
Cerebelum_6_L	  4	-40	-54	-26	NaN	 52	416	14.00	NaN	
Temporal_Inf_R	  5	 56	-58	-24	NaN	  3	 24	10.00	NaN	
Temporal_Inf_L	  6	-58	-56	-12	NaN	 64	512	13.00	NaN	
Frontal_Mid_2_R	  7	 32	 58	  2	NaN	177	1416	5.00	NaN	
Frontal_Mid_2_L	  8	-40	 50	  2	NaN	 85	680	11.00	NaN	
Cuneus_R	  9	 22	-76	 44	NaN	987	7896	1.00	NaN	
Frontal_Mid_2_R	 10	 38	 32	 30	NaN	307	2456	3.00	NaN	
Occipital_Mid_L	 11	-26	-78	 34	NaN	 45	360	16.00	NaN	
Parietal_Inf_L	 12	-34	-62	 44	NaN	 40	320	19.00	NaN	
Frontal_Sup_Medial_L	 13	  2	 20	 42	NaN	 99	792	9.00	NaN	
Parietal_Inf_R	 14	 42	-48	 48	NaN	 50	400	15.00	NaN	
Precuneus_R	 15	  6	-50	 50	NaN	 26	208	23.00	NaN	
Frontal_Mid_2_R	 16	 38	  6	 54	NaN	142	1136	7.00	NaN	
OUTSIDE	 17	  0	-38	 72	NaN	 63	504	12.00	NaN	
