Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Cerebelum_8_R	  1	 26	-74	-54	NaN	 37	296	27.00	NaN	
Cerebelum_Crus1_R	  2	 34	-68	-34	NaN	275	2200	7.00	NaN	
OUTSIDE	  3	-44	 12	-42	NaN	 90	720	2.00	NaN	
OUTSIDE	  4	-28	 12	-44	NaN	 19	152	32.00	NaN	
Cerebelum_Crus2_R	  5	  6	-78	-30	NaN	283	2264	6.00	NaN	
Temporal_Inf_L	  6	-54	-12	-38	NaN	 34	272	2.00	NaN	
Temporal_Inf_R	  7	 56	-12	-28	NaN	117	936	12.00	NaN	
OUTSIDE	  8	 54	-14	-40	NaN	  3	 24	12.00	NaN	
Temporal_Mid_L	  9	-56	-12	-24	NaN	121	968	2.00	NaN	
Calcarine_L	 10	  0	-78	 16	NaN	8975	71800	1.00	NaN	
OUTSIDE	 11	-46	 26	-28	NaN	  1	  8	2.00	NaN	
OUTSIDE	 12	-68	 -8	-16	NaN	 29	232	2.00	NaN	
Frontal_Inf_Orb_2_L	 13	-48	 34	-10	NaN	142	1136	2.00	NaN	
OUTSIDE	 14	-44	 46	-18	NaN	  1	  8	2.00	NaN	
Frontal_Med_Orb_R	 15	  8	 64	-12	NaN	360	2880	3.00	NaN	
OUTSIDE	 16	-60	  6	-12	NaN	 15	120	2.00	NaN	
Frontal_Sup_2_L	 17	-24	 64	-10	NaN	 47	376	16.00	NaN	
OUTSIDE	 18	 12	-100	-12	NaN	  1	  8	38.00	NaN	
Caudate_L	 19	-16	 18	  0	NaN	 38	304	30.00	NaN	
Putamen_R	 20	 20	 16	  0	NaN	 39	312	29.00	NaN	
Occipital_Mid_L	 21	-16	-104	 -2	NaN	  6	 48	47.00	NaN	
Frontal_Mid_2_L	 22	-38	 50	  2	NaN	 57	456	17.00	NaN	
Temporal_Mid_L	 23	-48	-40	  4	NaN	 30	240	37.00	NaN	
Frontal_Sup_2_L	 24	-26	 54	  2	NaN	 33	264	36.00	NaN	
Frontal_Inf_Tri_L	 25	-48	 32	 14	NaN	226	1808	9.00	NaN	
Frontal_Inf_Oper_R	 26	 46	  8	 16	NaN	 42	336	25.00	NaN	
Temporal_Sup_R	 27	 62	-22	 14	NaN	 22	176	48.00	NaN	
OUTSIDE	 28	-20	-70	 16	NaN	 22	176	45.00	NaN	
Precentral_L	 29	-48	  8	 34	NaN	533	4264	5.00	NaN	
Frontal_Inf_Tri_R	 30	 56	 18	 24	NaN	 25	200	44.00	NaN	
Frontal_Mid_2_R	 31	 34	 34	 26	NaN	 27	216	41.00	NaN	
OUTSIDE	 32	-68	 -8	 26	NaN	  3	 24	2.00	NaN	
Precuneus_L	 33	 -2	-58	 42	NaN	172	1376	11.00	NaN	
Precentral_R	 34	 56	  4	 40	NaN	 93	744	13.00	NaN	
Supp_Motor_Area_L	 35	  0	 14	 48	NaN	219	1752	10.00	NaN	
Frontal_Sup_Medial_L	 36	 -4	 28	 42	NaN	 38	304	31.00	NaN	
Parietal_Inf_R	 37	 42	-48	 50	NaN	 82	656	15.00	NaN	
Frontal_Mid_2_L	 38	-28	  0	 56	NaN	247	1976	8.00	NaN	
Frontal_Mid_2_L	 39	-28	 22	 52	NaN	 34	272	35.00	NaN	
Frontal_Sup_2_R	 40	 32	 26	 54	NaN	 34	272	33.00	NaN	
Supp_Motor_Area_R	 41	  6	  2	 60	NaN	 52	416	21.00	NaN	
Supp_Motor_Area_L	 42	 -8	 22	 66	NaN	 16	128	18.00	NaN	
