Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Cerebelum_Crus2_L	  1	-18	-76	-36	NaN	 73	584	19.00	NaN	
Temporal_Mid_R	  2	 54	  0	-26	NaN	303	2424	4.00	NaN	
Cerebelum_Crus1_L	  3	-44	-68	-22	NaN	103	824	11.00	NaN	
Temporal_Mid_L	  4	-56	 -4	-24	NaN	110	880	12.00	NaN	
Temporal_Inf_R	  5	 46	-54	-24	NaN	204	1632	7.00	NaN	
Occipital_Inf_L	  6	-44	-78	 -4	NaN	315	2520	3.00	NaN	
Temporal_Inf_R	  7	 48	-74	 -8	NaN	186	1488	6.00	NaN	
Temporal_Sup_R	  8	 62	-10	-10	NaN	 30	240	34.00	NaN	
Frontal_Sup_2_L	  9	-28	 58	-10	NaN	 67	536	22.00	NaN	
Temporal_Mid_R	 10	 50	-22	 -8	NaN	 86	688	16.00	NaN	
OUTSIDE	 11	-64	  2	 -4	NaN	  1	  8	14.00	NaN	
Temporal_Sup_R	 12	 52	-38	 10	NaN	283	2264	5.00	NaN	
Cuneus_L	 13	  0	-84	 16	NaN	361	2888	2.00	NaN	
Temporal_Mid_L	 14	-52	-48	  6	NaN	116	928	9.00	NaN	
OUTSIDE	 15	 48	-48	  2	NaN	 30	240	28.00	NaN	
Frontal_Sup_2_L	 16	-26	 58	 10	NaN	195	1560	8.00	NaN	
Frontal_Sup_Medial_R	 17	 14	 62	 14	NaN	492	3936	1.00	NaN	
Frontal_Inf_Tri_R	 18	 54	 26	 10	NaN	 99	792	13.00	NaN	
OUTSIDE	 19	-34	 16	 24	NaN	 16	128	37.00	NaN	
Frontal_Mid_2_R	 20	 38	 54	 24	NaN	 11	 88	38.00	NaN	
Frontal_Inf_Tri_R	 21	 50	 30	 28	NaN	 20	160	41.00	NaN	
Postcentral_R	 22	 58	-12	 34	NaN	 94	752	15.00	NaN	
Frontal_Mid_2_L	 23	-28	 34	 40	NaN	128	1024	10.00	NaN	
Frontal_Sup_2_R	 24	 24	 42	 40	NaN	 30	240	36.00	NaN	
Precentral_R	 25	 46	  6	 42	NaN	 44	352	27.00	NaN	
Precentral_R	 26	 40	-12	 52	NaN	 32	256	31.00	NaN	
Frontal_Mid_2_L	 27	-38	  4	 54	NaN	 38	304	29.00	NaN	
Frontal_Sup_Medial_R	 28	  6	 30	 60	NaN	 20	160	42.00	NaN	
Supp_Motor_Area_L	 29	 -2	 20	 62	NaN	 11	 88	25.00	NaN	
Supp_Motor_Area_L	 30	  0	  6	 72	NaN	  6	 48	25.00	NaN	
Paracentral_Lobule_L	 31	 -4	-22	 78	NaN	 20	160	20.00	NaN	
Paracentral_Lobule_L	 32	 -6	-36	 78	NaN	 16	128	30.00	NaN	
