Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
OUTSIDE	  1	-24	-78	-54	NaN	  4	 32	8.00	NaN	
OUTSIDE	  2	-16	-78	-54	NaN	  5	 40	15.00	NaN	
Temporal_Inf_L	  3	-50	  2	-42	NaN	 36	288	5.00	NaN	
Cerebelum_Crus2_R	  4	 32	-82	-36	NaN	 24	192	24.00	NaN	
Temporal_Mid_R	  5	 58	  4	-28	NaN	 55	440	12.00	NaN	
Temporal_Pole_Mid_R	  6	 44	 18	-32	NaN	 21	168	31.00	NaN	
Temporal_Inf_R	  7	 60	-38	-22	NaN	 21	168	32.00	NaN	
Rectus_R	  8	  4	 58	-22	NaN	 83	664	3.00	NaN	
Cerebelum_Crus1_R	  9	 42	-76	-22	NaN	 13	104	27.00	NaN	
Temporal_Mid_L	 10	-60	-14	-20	NaN	 23	184	30.00	NaN	
Calcarine_L	 11	 -8	-100	 -8	NaN	 58	464	11.00	NaN	
Temporal_Mid_R	 12	 62	-54	  2	NaN	 34	272	18.00	NaN	
Frontal_Inf_Tri_L	 13	-58	 22	 10	NaN	 21	168	33.00	NaN	
Precuneus_L	 14	 -6	-54	 16	NaN	 54	432	13.00	NaN	
Temporal_Mid_R	 15	 54	-62	 20	NaN	167	1336	2.00	NaN	
Precuneus_R	 16	  2	-64	 24	NaN	 91	728	9.00	NaN	
Frontal_Sup_Medial_L	 17	  0	 56	 22	NaN	 69	552	10.00	NaN	
Occipital_Mid_L	 18	-38	-72	 34	NaN	106	848	7.00	NaN	
Occipital_Mid_R	 19	 40	-78	 34	NaN	 27	216	26.00	NaN	
Frontal_Sup_2_R	 20	 20	 44	 40	NaN	158	1264	4.00	NaN	
Parietal_Sup_R	 21	 24	-76	 48	NaN	238	1904	1.00	NaN	
Frontal_Sup_2_L	 22	-12	 40	 50	NaN	107	856	6.00	NaN	
Precentral_R	 23	 26	-28	 76	NaN	  4	 32	34.00	NaN	
