Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Temporal_Pole_Mid_R	  1	 50	 14	-36	NaN	 59	472	2.00	NaN	
Temporal_Inf_R	  2	 56	  0	-40	NaN	  1	  8	2.00	NaN	
Temporal_Pole_Mid_R	  3	 60	 10	-26	NaN	 13	104	2.00	NaN	
OFCant_R	  4	 14	 64	-16	NaN	 22	176	20.00	NaN	
Lingual_L	  5	 -8	-88	-12	NaN	 54	432	10.00	NaN	
Fusiform_R	  6	 28	-80	-12	NaN	 22	176	22.00	NaN	
Frontal_Med_Orb_R	  7	  2	 66	-12	NaN	 17	136	9.00	NaN	
Frontal_Inf_Orb_2_R	  8	 52	 26	 -8	NaN	 11	 88	6.00	NaN	
Frontal_Mid_2_L	  9	-38	 48	  0	NaN	 29	232	16.00	NaN	
Frontal_Inf_Tri_R	 10	 46	 14	 24	NaN	233	1864	3.00	NaN	
Frontal_Inf_Oper_L	 11	-44	  6	 18	NaN	 33	264	15.00	NaN	
Frontal_Inf_Tri_R	 12	 44	 34	 24	NaN	 97	776	5.00	NaN	
Frontal_Inf_Tri_L	 13	-46	 20	 28	NaN	 37	296	13.00	NaN	
Parietal_Inf_R	 14	 44	-52	 46	NaN	560	4480	1.00	NaN	
Cuneus_R	 15	  4	-78	 40	NaN	 50	400	11.00	NaN	
Frontal_Mid_2_L	 16	-24	  6	 52	NaN	 87	696	7.00	NaN	
Frontal_Mid_2_R	 17	 34	  8	 54	NaN	142	1136	4.00	NaN	
Supp_Motor_Area_L	 18	 -8	 -2	 60	NaN	 37	296	14.00	NaN	
