Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Cerebelum_Crus2_R	  1	 30	-78	-40	NaN	 49	392	14.00	NaN	
Temporal_Pole_Mid_L	  2	-38	  4	-44	NaN	 20	160	34.00	NaN	
Temporal_Inf_L	  3	-50	 -4	-36	NaN	113	904	6.00	NaN	
Temporal_Pole_Mid_L	  4	-30	 20	-40	NaN	 11	 88	24.00	NaN	
Temporal_Pole_Mid_R	  5	 46	 10	-36	NaN	 36	288	21.00	NaN	
Cerebelum_Crus2_L	  6	-22	-88	-32	NaN	 22	176	26.00	NaN	
OFCant_L	  7	-34	 56	-14	NaN	577	4616	1.00	NaN	
OUTSIDE	  8	-52	 18	 -8	NaN	153	1224	5.00	NaN	
OFCant_R	  9	 36	 58	-14	NaN	179	1432	2.00	NaN	
Lingual_R	 10	  2	-76	 -2	NaN	278	2224	3.00	NaN	
Lingual_R	 11	 18	-68	 -4	NaN	 92	736	11.00	NaN	
Frontal_Inf_Orb_2_R	 12	 54	 26	 -6	NaN	 20	160	23.00	NaN	
Temporal_Mid_R	 13	 70	-30	 -4	NaN	 32	256	18.00	NaN	
Occipital_Sup_R	 14	 24	-86	 16	NaN	 90	720	8.00	NaN	
Occipital_Sup_L	 15	-16	-84	 18	NaN	 87	696	12.00	NaN	
Calcarine_R	 16	 20	-80	 12	NaN	  2	 16	8.00	NaN	
Angular_L	 17	-54	-62	 30	NaN	 99	792	9.00	NaN	
Frontal_Sup_Medial_L	 18	 -2	 46	 34	NaN	 22	176	30.00	NaN	
Frontal_Sup_2_L	 19	-14	 46	 42	NaN	 59	472	10.00	NaN	
Frontal_Sup_Medial_L	 20	  2	 40	 48	NaN	 71	568	13.00	NaN	
Postcentral_L	 21	-52	-22	 56	NaN	 19	152	29.00	NaN	
Precentral_L	 22	-36	-12	 66	NaN	139	1112	4.00	NaN	
Supp_Motor_Area_L	 23	 -8	 20	 66	NaN	 85	680	7.00	NaN	
