Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Cerebelum_8_R	  1	 24	-74	-54	NaN	229	1832	5.00	NaN	
OUTSIDE	  2	-32	-32	 40	NaN	10806	86448	1.00	NaN	
OUTSIDE	  3	 -6	-62	-56	NaN	 14	112	25.00	NaN	
OUTSIDE	  4	-12	-72	-52	NaN	 16	128	25.00	NaN	
Fusiform_L	  5	-28	  6	-42	NaN	230	1840	3.00	NaN	
Fusiform_R	  6	 30	 -2	-44	NaN	 93	744	12.00	NaN	
Temporal_Pole_Mid_R	  7	 44	 14	-42	NaN	 89	712	8.00	NaN	
Vermis_8	  8	  4	-70	-38	NaN	 74	592	21.00	NaN	
OUTSIDE	  9	-38	 16	-44	NaN	  3	 24	3.00	NaN	
Temporal_Pole_Mid_R	 10	 34	 22	-40	NaN	  4	 32	33.00	NaN	
Temporal_Pole_Mid_L	 11	-38	 22	-40	NaN	  1	  8	3.00	NaN	
Cerebelum_6_R	 12	 24	-68	-22	NaN	608	4864	4.00	NaN	
Temporal_Pole_Mid_L	 13	-48	 22	-30	NaN	  7	 56	15.00	NaN	
Rectus_L	 14	  0	 58	-24	NaN	 85	680	11.00	NaN	
Insula_R	 15	 30	 22	-18	NaN	 65	520	23.00	NaN	
OFCpost_R	 16	 34	 30	-24	NaN	  2	 16	47.00	NaN	
Temporal_Inf_R	 17	 52	-62	-20	NaN	 29	232	40.00	NaN	
Temporal_Mid_R	 18	 64	  0	-20	NaN	  6	 48	28.00	NaN	
Temporal_Mid_R	 19	 56	-14	-18	NaN	 22	176	48.00	NaN	
OUTSIDE	 20	-50	 42	-16	NaN	 13	104	15.00	NaN	
Occipital_Inf_R	 21	 28	-90	 -8	NaN	303	2424	7.00	NaN	
Temporal_Mid_R	 22	 50	-72	  0	NaN	222	1776	9.00	NaN	
OUTSIDE	 23	 10	-16	 -6	NaN	 21	168	41.00	NaN	
OUTSIDE	 24	 50	 14	 -4	NaN	 45	360	29.00	NaN	
Frontal_Sup_2_R	 25	 34	 64	  2	NaN	 43	344	1.00	NaN	
Temporal_Sup_L	 26	-54	 -4	  4	NaN	233	1864	10.00	NaN	
Frontal_Inf_Tri_L	 27	-44	 18	  4	NaN	 60	480	24.00	NaN	
Occipital_Sup_L	 28	 -6	-102	  4	NaN	 88	704	14.00	NaN	
Calcarine_R	 29	 14	-94	  4	NaN	 80	640	20.00	NaN	
OUTSIDE	 30	 48	-50	  2	NaN	 37	296	27.00	NaN	
Caudate_L	 31	 -6	  4	  6	NaN	324	2592	6.00	NaN	
Pallidum_L	 32	-26	-14	  0	NaN	  2	 16	49.00	NaN	
Temporal_Mid_L	 33	-48	-68	  8	NaN	109	872	13.00	NaN	
Rolandic_Oper_R	 34	 50	  4	  6	NaN	 36	288	36.00	NaN	
Frontal_Mid_2_R	 35	 36	 50	 28	NaN	649	5192	1.00	NaN	
OUTSIDE	 36	-28	 68	  2	NaN	  2	 16	1.00	NaN	
OUTSIDE	 37	-18	-84	  6	NaN	  1	  8	1.00	NaN	
OUTSIDE	 38	 30	 22	 10	NaN	 35	280	37.00	NaN	
Occipital_Sup_L	 39	-16	-90	 12	NaN	 11	 88	1.00	NaN	
Temporal_Sup_L	 40	-60	-36	 14	NaN	 26	208	44.00	NaN	
SupraMarginal_R	 41	 58	-14	 24	NaN	 24	192	45.00	NaN	
Occipital_Mid_R	 42	 48	-76	 24	NaN	 37	296	32.00	NaN	
SupraMarginal_R	 43	 66	-32	 26	NaN	 67	536	22.00	NaN	
Frontal_Sup_Medial_L	 44	-10	 64	 30	NaN	 44	352	1.00	NaN	
Frontal_Inf_Tri_R	 45	 54	 30	 28	NaN	 15	120	1.00	NaN	
Frontal_Sup_Medial_L	 46	 -6	 68	 24	NaN	  2	 16	1.00	NaN	
Occipital_Sup_R	 47	 28	-88	 30	NaN	 21	168	31.00	NaN	
Cingulate_Ant_R	 48	  4	 36	 28	NaN	 20	160	54.00	NaN	
Frontal_Sup_Medial_R	 49	  4	 64	 28	NaN	  2	 16	42.00	NaN	
Cingulate_Mid_L	 50	 -6	 18	 38	NaN	 32	256	39.00	NaN	
Parietal_Sup_R	 51	 16	-68	 56	NaN	732	5856	2.00	NaN	
Supp_Motor_Area_R	 52	  8	 14	 48	NaN	 37	296	35.00	NaN	
OUTSIDE	 53	 34	 34	 50	NaN	  1	  8	1.00	NaN	
Postcentral_R	 54	 42	-40	 58	NaN	 40	320	34.00	NaN	
Frontal_Sup_2_L	 55	-16	 44	 52	NaN	  1	  8	1.00	NaN	
OUTSIDE	 56	-16	 36	 58	NaN	  1	  8	1.00	NaN	
Frontal_Sup_2_L	 57	-14	 34	 60	NaN	  1	  8	1.00	NaN	
Frontal_Sup_2_L	 58	-16	 30	 62	NaN	  3	 24	1.00	NaN	
