Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
OUTSIDE	  1	 -8	-80	-46	NaN	 19	152	28.00	NaN	
Cerebelum_Crus2_L	  2	-16	-84	-34	NaN	198	1584	2.00	NaN	
OUTSIDE	  3	-44	 -6	-46	NaN	 46	368	9.00	NaN	
OUTSIDE	  4	 26	  6	-48	NaN	  1	  8	19.00	NaN	
Temporal_Inf_R	  5	 48	 -4	-46	NaN	  2	 16	17.00	NaN	
Cerebelum_Crus2_R	  6	 22	-84	-38	NaN	 38	304	20.00	NaN	
Temporal_Mid_L	  7	-52	-44	  4	NaN	5292	42336	2.00	NaN	
OUTSIDE	  8	  4	-82	-42	NaN	 13	104	37.00	NaN	
Temporal_Sup_R	  9	 54	-36	  8	NaN	5326	42608	3.00	NaN	
Fusiform_R	 10	 42	-66	-20	NaN	953	7624	5.00	NaN	
Cerebelum_Crus1_L	 11	-22	-88	-22	NaN	 32	256	29.00	NaN	
OUTSIDE	 12	-40	 -2	-18	NaN	 44	352	23.00	NaN	
OFClat_L	 13	-42	 40	-18	NaN	 46	368	2.00	NaN	
OFCant_R	 14	 22	 52	-14	NaN	111	888	4.00	NaN	
Frontal_Mid_2_L	 15	-28	 60	-12	NaN	365	2920	6.00	NaN	
OFCant_R	 16	 14	 66	-16	NaN	 14	112	26.00	NaN	
Frontal_Mid_2_R	 17	 36	 46	 16	NaN	2618	20944	4.00	NaN	
Frontal_Mid_2_R	 18	 26	 66	-12	NaN	  3	 24	4.00	NaN	
Lingual_L	 19	-12	-72	 -4	NaN	 35	280	27.00	NaN	
Lingual_L	 20	-20	-60	 -6	NaN	 22	176	35.00	NaN	
Cingulate_Mid_R	 21	  8	-36	 48	NaN	7339	58712	1.00	NaN	
Vermis_4_5	 22	  0	-50	  2	NaN	  1	  8	16.00	NaN	
Frontal_Mid_2_L	 23	-34	 46	 22	NaN	444	3552	7.00	NaN	
Cingulate_Post_R	 24	  2	-44	 18	NaN	 84	672	16.00	NaN	
Cingulate_Ant_R	 25	  6	 32	 28	NaN	 46	368	22.00	NaN	
Precentral_L	 26	-36	  8	 40	NaN	119	952	10.00	NaN	
Frontal_Mid_2_L	 27	-32	 30	 38	NaN	121	968	14.00	NaN	
Precuneus_L	 28	-10	-56	 40	NaN	 31	248	30.00	NaN	
Precentral_L	 29	-44	 -8	 58	NaN	221	1768	8.00	NaN	
Postcentral_L	 30	-40	-18	 48	NaN	128	1024	13.00	NaN	
SupraMarginal_R	 31	 62	-26	 48	NaN	  3	 24	33.00	NaN	
Parietal_Sup_R	 32	 30	-64	 52	NaN	 29	232	32.00	NaN	
OUTSIDE	 33	-60	-22	 50	NaN	  1	  8	2.00	NaN	
Postcentral_R	 34	 56	-20	 52	NaN	  6	 48	33.00	NaN	
Paracentral_Lobule_L	 35	-12	-28	 80	NaN	 27	216	18.00	NaN	
