Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Cerebelum_Crus1_L	  1	-46	-62	-26	NaN	 45	360	13.00	NaN	
Temporal_Inf_L	  2	-56	-62	-12	NaN	216	1728	5.00	NaN	
Temporal_Mid_L	  3	-56	-36	-14	NaN	 60	480	10.00	NaN	
Calcarine_R	  4	 10	-96	 -6	NaN	 30	240	16.00	NaN	
Frontal_Mid_2_R	  5	 40	 60	 -6	NaN	  5	 40	7.00	NaN	
Frontal_Mid_2_L	  6	-44	 50	  8	NaN	277	2216	2.00	NaN	
Frontal_Mid_2_R	  7	 46	 52	 10	NaN	 23	184	14.00	NaN	
Frontal_Inf_Tri_L	  8	-44	 30	 22	NaN	177	1416	6.00	NaN	
Precentral_L	  9	-46	 10	 34	NaN	478	3824	3.00	NaN	
Frontal_Sup_2_L	 10	-22	 64	 24	NaN	 17	136	11.00	NaN	
Frontal_Sup_Medial_R	 11	  6	 64	 30	NaN	 10	 80	18.00	NaN	
Parietal_Inf_L	 12	-38	-52	 46	NaN	601	4808	1.00	NaN	
Frontal_Sup_2_L	 13	-24	 18	 60	NaN	103	824	4.00	NaN	
Precuneus_L	 14	  0	-76	 52	NaN	 16	128	20.00	NaN	
Precuneus_L	 15	 -6	-70	 62	NaN	 26	208	17.00	NaN	
Frontal_Sup_Medial_L	 16	 -6	 28	 62	NaN	133	1064	4.00	NaN	
Postcentral_L	 17	-24	-28	 74	NaN	 28	224	12.00	NaN	
Supp_Motor_Area_L	 18	 -6	  6	 74	NaN	  1	  8	15.00	NaN	
