Name	index	x	y	z	corr	voxels	volume_mm3	maxstat	numpeaks	
Temporal_Inf_L	  1	-48	  0	-36	NaN	 74	592	14.00	NaN	
Temporal_Mid_R	  2	 54	  2	-24	NaN	242	1936	6.00	NaN	
Temporal_Pole_Sup_R	  3	 38	 24	-32	NaN	 26	208	20.00	NaN	
Temporal_Mid_L	  4	-62	-12	-16	NaN	235	1880	7.00	NaN	
Occipital_Mid_L	  5	-26	-96	 -4	NaN	412	3296	4.00	NaN	
Temporal_Pole_Sup_L	  6	-42	 16	-18	NaN	 50	400	15.00	NaN	
OFCant_R	  7	 32	 42	-16	NaN	 23	184	24.00	NaN	
Calcarine_L	  8	 -8	-98	-10	NaN	 71	568	13.00	NaN	
OUTSIDE	  9	 -8	 68	-10	NaN	 52	416	12.00	NaN	
Frontal_Mid_2_L	 10	-46	 52	 -4	NaN	 99	792	5.00	NaN	
Temporal_Mid_R	 11	 60	-28	 -2	NaN	177	1416	9.00	NaN	
Frontal_Mid_2_R	 12	 48	 52	 -2	NaN	 10	 80	18.00	NaN	
Occipital_Inf_R	 13	 24	-96	 -2	NaN	126	1008	11.00	NaN	
Temporal_Mid_L	 14	-50	-68	 22	NaN	909	7272	3.00	NaN	
Frontal_Inf_Tri_R	 15	 54	 34	  2	NaN	 50	400	16.00	NaN	
Temporal_Mid_R	 16	 50	-74	  2	NaN	 27	216	21.00	NaN	
Temporal_Mid_L	 17	-54	-38	  4	NaN	 25	200	23.00	NaN	
Frontal_Mid_2_R	 18	 46	 56	  6	NaN	  1	  8	18.00	NaN	
Frontal_Sup_Medial_L	 19	 -4	 58	 26	NaN	1030	8240	1.00	NaN	
Angular_R	 20	 54	-62	 26	NaN	225	1800	8.00	NaN	
Precuneus_L	 21	  0	-62	 32	NaN	1067	8536	2.00	NaN	
Angular_L	 22	-38	-58	 24	NaN	 14	112	25.00	NaN	
Precentral_L	 23	-34	  2	 38	NaN	  1	  8	22.00	NaN	
Frontal_Mid_2_L	 24	-38	 22	 48	NaN	169	1352	10.00	NaN	
Parietal_Inf_L	 25	-34	-58	 46	NaN	 22	176	26.00	NaN	
